type,test,total_planning_time,time_creating_heuristics
hbsp_1,1,2.509369,0.534248
hbsp_1,2,1.529575,0.582719
hbsp_1,4,1.644593,0.559215
hbsp_1,5,1.869456,0.539036
hbsp_1,6,1.382551,0.552186
hbsp_1,7,0.836125,0.544478
hbsp_1,9,1.452233,0.633973
hbsp_1,10,1.352821,0.551246
hbsp_1,11,1.345124,0.56303
hbsp_1,12,1.658267,0.709922
hbsp_1,13,1.388327,0.564332
hbsp_1,14,1.47811,0.605807
hbsp_1,15,2.11729,0.528832
hbsp_1,16,1.918983,0.550091
hbsp_1,17,1.463485,0.632059
hbsp_1,18,1.472999,0.557648
hbsp_1,19,1.627313,0.548302
hbsp_1,20,1.961277,0.604312
hbsp_1,21,1.446017,0.607886
hbsp_1,22,1.587592,0.549957
hbsp_3,1,1.383477,0.542929
hbsp_3,2,1.670047,0.723618
hbsp_3,4,1.742552,0.655577
hbsp_3,5,1.461755,0.638875
hbsp_3,6,1.4148,0.613624
hbsp_3,7,1.56447,0.600864
hbsp_3,9,1.603981,0.777289
hbsp_3,10,1.451365,0.644232
hbsp_3,11,1.456774,0.678601
hbsp_3,12,2.056935,1.082777
hbsp_3,13,1.419074,0.597386
hbsp_3,14,1.581553,0.702864
hbsp_3,15,1.734992,0.661453
hbsp_3,16,1.401932,0.643812
hbsp_3,17,1.604906,0.767231
hbsp_3,18,1.595531,0.687188
hbsp_3,19,1.766397,0.682167
hbsp_3,20,1.963388,0.59404
hbsp_3,21,1.618119,0.784023
hbsp_3,22,1.691815,0.654055
dijkstra,1,2.505444,0.208034
dijkstra,2,1.156824,0.205796
dijkstra,4,1.29369,0.208615
dijkstra,5,1.528989,0.207776
dijkstra,6,1.024161,0.209258
dijkstra,7,1.44538,0.20918
dijkstra,9,1.03072,0.207928
dijkstra,10,1.017602,0.209388
dijkstra,11,0.983589,0.207389
dijkstra,12,1.060471,0.206891
dijkstra,13,1.032111,0.208978
dijkstra,14,1.092241,0.20649
dijkstra,15,1.799607,0.211176
dijkstra,16,1.575298,0.209055
dijkstra,17,1.02732,0.211381
dijkstra,18,1.11819,0.209608
dijkstra,19,1.283157,0.209751
dijkstra,20,1.57355,0.208451
dijkstra,21,1.039908,0.210636
dijkstra,22,1.562678,0.213496
hbsp_1_hard,1,1.402636,0.520572
hbsp_1_hard,2,2.606128,0.526469
hbsp_1_hard,3,1.337164,0.53335
hbsp_1_hard,4,2.294085,0.516271
hbsp_1_hard,5,1.353804,0.520552
hbsp_1_hard,6,4.543966,0.517786
hbsp_1_hard,7,1.423255,0.614562
hbsp_1_hard,8,1.343894,0.521476
hbsp_1_hard,9,2.652567,0.564295
hbsp_1_hard,10,4.147641,0.558008
hbsp_1_hard,11,1.561595,0.588963
hbsp_1_hard,12,1.638486,0.584202
hbsp_1_hard,13,1.369193,0.578899
hbsp_1_hard,14,1.47412,0.528273
hbsp_1_hard,15,1.329839,0.575166
hbsp_1_hard,16,1.395659,0.555991
hbsp_1_hard,17,1.475162,0.578757
hbsp_1_hard,18,1.323433,0.521221
hbsp_1_hard,19,2.094423,0.54678
hbsp_1_hard,20,2.37275,0.523182
hbsp_3_hard,1,1.552489,0.671646
hbsp_3_hard,2,1.406211,0.584066
hbsp_3_hard,3,1.57491,0.772404
hbsp_3_hard,4,1.376651,0.580033
hbsp_3_hard,5,1.512905,0.675946
hbsp_3_hard,6,1.363069,0.561561
hbsp_3_hard,7,1.486815,0.672086
hbsp_3_hard,8,1.514618,0.686841
hbsp_3_hard,9,1.572281,0.658527
hbsp_3_hard,10,1.408353,0.636564
hbsp_3_hard,11,1.567678,0.60493
hbsp_3_hard,12,2.163438,1.099016
hbsp_3_hard,13,1.472268,0.677568
hbsp_3_hard,14,1.548421,0.600339
hbsp_3_hard,15,1.61128,0.847004
hbsp_3_hard,16,1.459889,0.602867
hbsp_3_hard,17,1.678955,0.784833
hbsp_3_hard,18,1.414665,0.604655
hbsp_3_hard,19,1.467249,0.6372
hbsp_3_hard,20,1.450695,0.633839
dijkstra_hard,1,111.45185,0.204357
dijkstra_hard,2,23.050957,0.206544
dijkstra_hard,3,517.598038,0.204576
dijkstra_hard,4,373.70998,0.203872
dijkstra_hard,5,34.685477,0.204402
dijkstra_hard,6,179.736091,0.205615
dijkstra_hard,7,26.154017,0.205023
dijkstra_hard,8,36.309352,0.206304
dijkstra_hard,9,127.905191,0.204956
dijkstra_hard,10,627.582501,0.204649
dijkstra_hard,11,162.335475,0.204593
dijkstra_hard,12,559.939359,0.206227
dijkstra_hard,13,26.175161,0.206827
dijkstra_hard,14,644.307454,0.206727
dijkstra_hard,15,162.258743,0.204356
dijkstra_hard,16,611.812166,0.208107
dijkstra_hard,17,686.239413,0.205571
dijkstra_hard,18,549.027355,0.206331
dijkstra_hard,19,28.301089,0.205416
dijkstra_hard,20,20.075305,0.206313
